ID;Q_mean;slope_hfd;bfi;hfd_mean;Q5;Q95;high_q_freq;high_q_dur;low_q_freq;low_q_dur;zero_q_freq
2903429;0.68;5.21;0.59;125.75;0.07;2.55;51.28;36.81;133.60;105.16;0.00
2903960;0.03;nan;0.02;6.55;0.00;0.00;9.67;365.22;193.33;230.89;0.97
2909156;0.78;0.33;0.85;142.80;0.48;1.18;0.00;0.00;0.67;0.07;0.00
2909153;0.46;0.66;0.81;84.17;0.24;0.83;0.00;0.00;0.00;0.00;0.00
6983600;1.84;6.66;0.29;344.97;0.00;8.35;40.30;3.70;174.80;6.30;0.24
2909150;0.69;1.82;0.61;127.21;0.15;2.96;12.16;11.87;8.03;3.34;0.00
2912302;0.05;2.13;0.60;9.24;0.01;0.18;16.48;16.45;30.80;25.38;0.00
6971700;1.02;2.10;0.35;190.48;0.00;4.22;33.22;29.33;96.89;62.11;0.26
2998450;0.12;9.04;0.57;21.77;0.00;0.47;79.47;91.00;175.73;144.20;0.17
6976100;0.68;1.07;0.67;125.54;0.21;2.07;0.75;0.75;0.70;0.70;0.00
6970903;nan;3.94;nan;nan;0.14;3.70;nan;nan;nan;nan;nan
6972750;1.69;1.97;0.72;307.47;0.48;4.02;0.00;0.00;5.57;5.07;0.00
2903420;0.61;5.90;0.57;111.50;0.04;2.45;66.75;56.66;164.33;123.53;0.00
6983350;0.66;1.79;0.71;121.33;0.16;1.53;0.00;0.00;4.64;2.18;0.00
6984100;0.10;2.10;0.65;17.94;0.00;0.21;2.33;0.56;26.89;10.22;0.07
2911920;0.17;nan;0.21;31.96;0.00;0.81;74.20;365.20;291.00;103.20;0.80
6973700;0.75;2.46;0.39;139.24;0.11;3.34;26.00;13.60;80.80;28.50;0.00
6971050;1.12;1.70;0.70;205.10;0.38;2.99;0.78;0.67;0.00;0.00;0.00
2906880;1.01;6.66;0.56;187.04;0.04;3.62;2.82;1.91;142.55;112.27;0.00
2998110;0.43;18.03;0.46;78.70;0.00;2.03;136.36;136.27;223.91;146.61;0.21
2999850;nan;1.92;nan;nan;0.58;6.52;nan;nan;nan;nan;nan
2908099;0.36;0.51;0.86;66.12;0.23;0.49;0.00;0.00;0.50;0.50;0.00
6970701;1.27;3.63;0.51;235.87;0.14;5.76;25.89;20.23;102.05;89.61;0.00
2904850;2.56;3.33;0.41;472.99;0.13;11.26;28.44;12.11;118.44;84.33;0.00
