,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
86,[224],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
87,[365],[365],[366],[365],[365],[365],[366],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
88,[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89,[366],[365],"[242, 60, 61]",[365],[366],[365],[365],[365],[366],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
90,[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[366],[365],[365],[365],[366],[365],"[148, 198]",[365],[366],[365],[365],[365],"[59, 306]",[365],[365],[365],[366],[365],"[212, 122]",[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[326],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91,[235],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
92,[366],[365],[365],[365],[366],[365],"[201, 139]",[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,[365],[365],[366],[365],[365],[365],[366],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
94,[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
95,[133],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],"[152, 160]",[365],[365],[334],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365]
96,[365],[366],[365],[365],[365],[365],[365],[365],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
97,[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
98,[366],[365],[365],[365],[366],[308],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],"[288, 36]","[287, 51]",[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,[366],[365],[365],[365],[366],[365],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
101,[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],"[101, 245]",[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
103,[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],[365],[366],[365],[365],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
