,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88
20,[0.7523747342311431],[0.7536575770956354],[0.788827498957923],[0.7378576062390695],[0.6851088947487365],[0.7433866058779308],[0.6695908759907334],[0.7123524399070618],[0.7063506446088438],[0.693407178142759],[0.7272157544980244],[0.6913125867033111],[0.7179461899190034],[0.751547649866021],[0.6943093246183216],[0.6840490086425642],[0.7316696200298791],[0.6947517379912818],[0.7984609224052144],[0.7554870004155723],[0.7887117276690749],[0.7853574391289103],[0.7888887912433592],[0.7828551380800127],[0.7683307998610674],[0.7611653653928955],[0.7613157689731478],[0.7658811262876303],[0.744148359946812],[0.7484586482701343],[0.7599056209164572],[0.7554708915589154],[0.7118379511690348],[0.7708170789788087],[0.7152518843707063],[0.7355204883112387],[0.7405316624356079],[0.7452001066269319],[0.7202476648375173],[0.7527680815835777],[0.7310766823465562],[0.7706076045934783],[0.7434989528037397],[0.801500737589515],[0.7905826769981666],[0.7557827729707766],[0.798791242666026],[0.7591918925601214],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,[0.6478685113895265],[0.48244639868698114],[0.5257509263209903],[0.5607028604858258],[0.5747495378566011],[0.5055648181994835],[0.5661490320527597],[0.5641720997595943],[0.5356420777815326],[0.5972292980242014],[0.4797185645772649],[0.5970214808048969],[0.5157738769313917],[0.558819978555544],[0.5167805173694567],[0.5465456663221976],[0.5524930640615822],[0.5307637624106045],[0.46927558364593686],[0.5171733536267887],[0.5316360074064566],[0.565027199255332],[0.5171728637342811],[0.5359438257841032],[0.5779978336403212],[0.5412418333326217],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,[0.38568018088330197],[0.4158509042763832],[0.4909158749782818],[0.5323433379244736],[0.5195415799811268],[0.501823490675041],[0.5957977839667801],[0.5343060505040278],[0.5716912746378507],[0.5944784934227575],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,"[0.6713054271181044, 0.6875173620616345]",[0.4393440528607972],"[0.3731886934718513, nan, nan, nan, nan, nan, 0.7036217255531966]",[0.5148583132590016],[0.5066314337287393],[0.5287731214696585],"[0.4963476510085812, 0.005553716461092497]","[0.5484824335390915, nan, 0.5541941651510492]",[0.5837174482095765],[0.5807878849624237],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,"[0.0, 0.0, 0.0, 0.061609986589105416, 0.5358277759922897, 0.11810308669088336, 0.3278394374553379, 0.0]","[0.0, 0.0, 0.0, 0.029756070416732807, 0.5814559731202358, 0.13325817177637753, 0.3729209484675122, 0.0]","[0.0, 0.0, 0.0, 0.11125949954360312, 0.5648150162547771, 0.14071277560334583, 0.3278678844048511, 0.0]","[0.0, 0.0, 0.0, 0.01712233576929363, 0.4459790678296732, 0.11165983750577549, 0.38830179822944627, 0.0017728858089048325]","[0.0, 0.0, 0.0, 0.047347177423922415, 0.5485137850097035, 0.1296672383526371, 0.4080672057980509, 3.752707894736163e-05]","[0.0, 0.0, 0.0, 0.008293923007625003, 0.589909415999783, 0.14162951629625053, 0.29605765832527803, 0.0]","[0.0, 0.0, 0.0, 0.0705332222672606, 0.33468013997665175, 0.12857302767777062, 0.5454827208130189, 0.2666160387807933]","[0.0, 0.0, 0.0, 0.029888483327853845, 0.5957215284916687, 0.12384525273645015, 0.30149881671355944, 0.0]","[0.0, 0.0, 0.0, 0.04326282581817386, 0.5190917613308139, 0.09152041361299607, 0.2298078371658859, 0.0]",[0.3487817468292214],[0.3928689463276608],[0.5146750682432253],[0.4024794592223346],[0.3485582790577782],[0.38726420876619044],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,[0.4001186929860559],[0.46655948463043706],[0.34639725411042804],[0.38570747243698894],[0.33356980272070486],[0.3900061738916437],[0.41699059754285706],[0.4096984938239722],[0.35382040158006123],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,[0.69038667652181],[0.6619360518983334],[0.7349084837662326],[0.6356642137286166],[0.7416414558058502],[0.6676659288496276],[0.7635735140349003],[0.7216067487914689],[0.6709631118519497],[0.7230726479495659],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,[0.33606321938369416],[0.3733246251417914],[0.28925116047934696],[0.3205394413238933],[0.3739248567348896],[0.24401646996857895],[0.25686335412077743],[0.38222963683075695],[0.329438983097572],[0.35694157715538266],[0.28712349885751115],[0.4321803762538051],[0.3477261011900166],[0.38906622435894866],[0.3449457352933999],[0.3416206890357124],[0.28296359035568247],[0.297957087472629],[0.3465939883257274],[0.3491869301111302],[0.3364493496227029],[0.28992410741128083],[0.29934554511490025],[0.3125071598384119],[0.38803654115023684],[0.3504614841107302],[0.2296668404879062],[0.308192443631383],[0.3993131265646397],[0.3563206775052629],[0.3854880778106691],[0.2990675711679977],[0.33537076903425495],[0.20382922014589816],[0.34204299567585783],[0.3126400125922114],[0.31091363821911994],[0.31357685018372394],[0.36907175436043893],[0.2967523903582197],[0.3061600151399635],[0.33708864109926734],[0.27159522373998424],[0.2620320890953236],[0.4201759374678648],[0.3638161113840613],[0.336229399488941],[0.27266891680320954],[0.3248766085927007],[0.2823247953939038],[0.2438895838321875],"[0.40630976516040573, 0.0]",[0.3279317004259853],[0.2746341821449172],[0.2445122798967233],[0.33860915010790243],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,[0.09385095446511696],[0.7663214835261664],[0.748290118533664],[0.7028887482958702],[0.6583796032953094],[0.7202797974725248],[0.7009515744749448],[0.7372179357136187],[0.7261326738808507],[0.7650686417835678],[0.6858473393342648],[0.704228043228408],[0.7005626326117594],[0.7280826643811084],[0.7127501275554987],[0.7316753615398731],[0.7211137438159945],[0.7182225935641725],[0.6962533206109596],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,[0.4070712346418626],[0.3653904555589795],[0.3926760670957757],[0.44383803481045525],[0.40056656511155503],[0.46971447473268124],[0.4479828900348516],[0.4640169032596384],[0.516583102930344],[0.459366100545339],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,[0.80039472452668],[0.8237266377246671],[0.8552307845294449],[0.8680693568561471],[0.8777835801187431],[0.882574374920495],[0.8772256338080278],[0.8749328810329274],[0.8719397648210745],[0.8504031292495394],[0.8559567806465757],[0.8224141156972479],[0.8435860551692634],[0.8284926559540776],[0.7945490005660701],[0.7861709922751354],[0.7987578756784419],[0.7691301070578898],[0.7727761950087096],[0.7824793671467523],[0.7645697527788062],[0.7484111173155371],[0.787912365675638],[0.8064189222403924],[0.8466631654205458],[0.8179960768559691],[0.8014501127553048],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,[0.23665103956377703],[0.21637291355021157],[0.3426582696465514],[0.3570706478007634],[0.3155950333493748],[0.22395718744259907],[0.20306348499403087],[0.1657527839879183],[0.2846456037509798],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,[0.38612368012453036],[0.379078358963125],"[0.02905611945527139, 0.49742618242790054]","[0.011845719098842812, 0.31407692182880603]","[0.01716028712569551, 0.3944125271742054]",[0.33384351146182145],[0.4288480169863514],"[0.4328302127451486, 0.6853656890692191]",[0.3528069773129435],[0.3490172193579643],[0.3653701409868726],[0.22072292658802453],[0.345430372642831],[0.35411693394720695],[0.3562685397123473],[0.27999141016433965],[0.2219114868056158],[0.3412672388080182],[0.4065826379120517],[0.278519551974433],[0.37431883253372306],[0.37504053859590014],[0.3356654272507855],[0.24804213469307101],[0.36464114383007357],[0.28498268799657145],[0.3443559001892177],[0.39702461590087],[0.25558634020208104],[0.32890960698773064],[0.371264580587055],[0.2803944053762526],[0.39289427033253993],[0.4554918978315944],[0.2479027612873401],[0.35352773102491936],[0.35607999425928744],[0.3574307498586395],[0.3450794570761684],[0.27387698741348804],[0.41222202436126293],[0.23313488748032432],[0.4070103564967899],[0.34051085425245214],[0.2756191287459612],[0.20471868078525976],[0.422625326753832],[0.28449998963682577],[0.32762590499637484],[0.33163217175320536],[0.40237848647334973],[0.3860954058327847],[0.2971848105761363],[0.3992833997311611],[0.25447780984659657],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,[0.4827393469109252],[0.45447598025039504],[0.4417725149909547],[0.5055529770539686],[0.49730857704572223],[0.5278333281125799],[0.5319384686824143],[0.5028494922629052],[0.42157921206950133],[0.5426518679993889],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,[0.6746583479889675],[0.4234675049824951],[0.5042867327201676],[0.5513261211704672],[0.6306440666516068],[0.563109050548407],[0.7341718332804087],[0.4919045184370736],[0.5723749402856275],[0.6145042070225777],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,[0.3910778216155279],[0.5816673078082237],"[0.1345686921687757, 0.5631766260076008]",[0.5060382512778084],"[0.33478244964425097, 0.6303990978128284]",[0.5556009439055201],[0.5519701346918772],[0.4925154726653674],[0.5152880212203304],[0.43532313303227227],[0.5543842109556328],[0.5621216307693382],"[0.3565041604032742, 0.5014243720509193]",[0.6189457699003283],[0.5797831734278024],[0.5485476076362252],"[0.7730749467225951, 0.5282469518285265]",[0.36012703751855085],[0.5135704151179451],"[0.254869070693962, 0.46818325524706816]",[0.4909762604778862],[0.49488259802674356],[0.5756673798010815],[0.5301034855074486],[0.6328161141466833],[0.5460854001144608],[0.4738227789444717],[0.5628809403898022],[0.4202249697939603],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,[0.4106310543422946],[0.47385150268768433],[0.4499578330284393],[0.43284111080369025],[0.46245176353685674],[0.5049476402632918],[0.41285307628433515],[0.4585354925072632],[0.42291691141724913],[0.4385556515285632],[0.4959393572276048],[0.4683870963461614],[0.47095934042551046],[0.48992566947108085],[0.4688994684910712],[0.4911177705826147],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,[0.6320760422396052],[0.6189736898913414],[0.5291208836541832],[0.5735210038565667],[0.6215449254427763],[0.5692796415945529],"[0.6217369102160697, 0.5315836330102132]",[0.6117207632674748],[0.6867709278703906],[0.609420026984939],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,[0.32868336113017815],[0.2970693420481668],[0.3733274986177788],[0.22645576948403243],[0.24105316182332356],[0.26829774414417334],[0.22095981577367735],[0.2791335757122761],[0.15506795846836677],[0.16813260222095427],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,[0.5218877346880151],[0.6023369528737815],[0.5421121990994475],[0.6080471562579121],[0.5594135295302475],[0.5715069347707368],[0.5601733185830238],[0.5809665397694574],[0.5820969927488227],[0.5980911459573296],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,[0.5529572991669566],[0.5477497971148425],[0.5550422346005331],[0.46563691871314544],[0.489566141124446],[0.4672122817041396],[0.5339495200286746],[0.5464497596572818],[0.5287138580779864],[0.5702856175127254],[0.537120096904203],[0.46979690747126945],[0.48091673305463073],[0.5211913405694379],[0.516481521209218],[0.4607076712227102],[0.5332248155558414],[0.48204696676623743],[0.43927532617140347],[0.49381572163636556],[0.5940422065101533],[0.583806823065149],[0.5704071595183994],[0.5478166233755782],[0.5249549120251045],[0.5291461375952704],[0.528638226637426],[0.528592412406802],[0.509217474817859],[0.560340873285254],[0.599436751069132],[0.5183053907698373],[0.5022023081893704],[0.5360424063953233],[0.4753096564925131],[0.49508546395634273],[0.5433376999327444],[0.564733030395233],[0.5273997741924366],[0.5447499709268292],[0.5707655278978243],[0.571255691236446],[0.5772829595420992],[0.5249272077976853],[0.49853904850516584],[0.578881326364561],[0.4424110719106406],[0.5252465744972724],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,[0.7265560623161857],[0.801536624474734],[0.6966870718025024],[0.7530884945560468],[0.8091881967477682],[0.7375270576617018],[0.7260320654153426],[0.7915438193997273],[0.730920653026866],[0.752446472528887],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,[0.5021677140944223],[0.5333997713314368],[0.4844969941355191],[0.44293293487234064],[0.5142661788751031],[0.4625195625526488],[0.43184493652277894],[0.4676236433370002],"[0.6767519995651338, 0.5901643023434042]",[0.4840163429949148],[0.5255963278972148],[0.5197761973292294],[0.5555079090920997],[0.5079538651928225],[0.4747945195075041],[0.5287712234959879],[0.5400887990040446],[0.508522462318407],[0.5665935721804802],[0.5210755121915697],[0.5232698986462248],[0.5320197032280501],[0.5160253550554768],[0.5208748672301379],[0.5126813196595215],[0.5018557676647014],[0.5150479018830983],[0.4910483400672476],[0.5319870451933526],[0.4677387083067162],[0.5405657104935132],[0.4936823091684257],[0.5838885669405739],[0.5433259386779612],[0.5263235149198889],[0.478439656519942],[0.5249267812429552],[0.5941165805264208],[0.45947675143921035],[0.4975591649162007],[0.5520748294447041],[0.47004318677895984],[0.5033666174134627],[0.5129528604869403],[0.49564591785654305],[0.529368678556271],[0.5038709120493338],[0.5325602504184314],[0.513379784877832],[0.5413772698950869],[0.49609529820073084],[0.513748391317447],[0.5521061561177042],[0.4975752679556605],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
